Filename,Count
Ensembl-Human-GRCh38.pep.all.fasta,122614
UniProt-Human-UP000005640_canonical-2023_05.fasta,20596
UniProt_Human_9606_SP-Tr-2023_05.fasta,204318
UniProt_Human_9606_SP-iso_2023_05.fasta,42459
UniProt_Human_9606_SP_2023_05.fasta,20429
UniProt_Human_UP000005640_All_2023_05.fasta,82685
Ensembl-Human-T2T_GCA_009914755.4-2022_07-pep.fasta,104957
Ensembl-Human-GRCh37.pep.all.fasta,104763
NCBI-RefSeq-Human-GRCh38.p14-GCF_000001405.40-2022-02-03.fasta,136194
NCBI-Human-Hopkins2022-06-Ash1_v2.2.fasta,87231
NCBI-Human-ASM2283312v2-Celera2005.fasta,64479
NCBI_RefSeq-Human-T2T-CHM13v2.0-T2T-GCF_009914755.1-2022-01-24.fasta,129662
Pangenome-HPRC-Human-GCA_018852605.1-Caucasian-2022_07-pep.fasta,101278
Pangenome-HPRC-Human-GCA_018505835.1-Pakistan-2022_07-pep.fasta,101271
Pangenome-HPRC-Human-GCA_018504625.1-swUSA-2022_07-pep.fasta,104575
Pangenome-HPRC-Human-GCA_018504055.1-Vietnam-2022_07-pep.fasta,104580
Pangenome-HPRC-Human-GCA_018472565.1-HanChineseSouth-2022_08-pep.fasta,104725
Pangenome-HPRC-Human-GCA_018469415.1-Nigeria-2022_07-pep.fasta,104773
Pangenome-HPRC-Human-GCA_018469405.1-Columbia-2022_07-pep.fasta,104552
Pangenome-HPRC-Human-GCA_018466835.1-Barbados-2022_07-pep.fasta,104581
nextprot_Human-all-peff-2023-09-11.fasta,42382
